The Wall,65,1,1
North of the Wall,99,1,1
North of the Wall,7,1,1
North of the Wall,7,1,1
North of the Wall,6,1,1
North of the Wall,112,1,1
North of the Wall,5,1,1
North of the Wall,7,1,1
North of the Wall,10,1,1
North of the Wall,23,1,1
North of the Wall,18,1,1
North of the Wall,10,1,1
North of the Wall,56,1,1
The North,191,1,1
The North,183,1,1
The North,183,1,1
The Crownlands,121,1,1
The North,118,1,1
The North,26,1,1
The North,30,1,1
The North,337,1,1
The North,91,1,1
The North,130,1,1
The North,48,1,1
Pentos,152,1,1
Pentos,126,1,1
Pentos,102,1,1
The North,51,1,1
The North,23,1,1
The North,175,1,1
The North,194,1,1
The North,181,1,1
Pentos,336,1,1
Pentos,103,1,1
The North,78,1,1
The North,111,1,1
The Dothraki Sea,186,1,2
The North,97,1,2
The North,133,1,2
The North,146,1,2
The North,102,1,2
The North,137,1,2
The North,219,1,2
The North,45,1,2
The North,104,1,2
The North,199,1,2
The Dothraki Sea,46,1,2
The North,200,1,2
The North,192,1,2
The Dothraki Sea,113,1,2
The Wall,32,1,2
The North,79,1,2
The North,109,1,2
The North,53,1,2
The Dothraki Sea,103,1,2
The Dothraki Sea,130,1,2
The Riverlands,111,1,2
The Riverlands,163,1,2
The Riverlands,51,1,2
The Riverlands,38,1,2
The Riverlands,249,1,2
The Riverlands,31,1,2
The North,11,1,2
The Riverlands,28,1,2
The North,16,1,2
The Riverlands,10,1,2
The North,9,1,2
The Crownlands,55,1,3
The Crownlands,155,1,3
The Crownlands,174,1,3
The Crownlands,159,1,3
The Crownlands,81,1,3
The Crownlands,217,1,3
The North,182,1,3
The Crownlands,172,1,3
The Wall,96,1,3
The Crownlands,49,1,3
The Crownlands,35,1,3
The Wall,120,1,3
The Crownlands,37,1,3
The Crownlands,69,1,3
The Crownlands,99,1,3
The Crownlands,272,1,3
The Dothraki Sea,218,1,3
The Wall,215,1,3
The Wall,234,1,3
The Dothraki Sea,38,1,3
The Dothraki Sea,134,1,3
The Wall,123,1,3
The Dothraki Sea,49,1,3
The Wall,62,1,3
The Crownlands,212,1,3
The North,49,1,4
The North,54,1,4
The North,103,1,4
The North,87,1,4
The Wall,211,1,4
Vaes Dothrak,70,1,4
Vaes Dothrak,56,1,4
Vaes Dothrak,293,1,4
The Crownlands,103,1,4
The Crownlands,144,1,4
The Crownlands,145,1,4
The Crownlands,108,1,4
The Wall,132,1,4
The Crownlands,108,1,4
The Crownlands,33,1,4
The Crownlands,21,1,4
The Crownlands,117,1,4
The Crownlands,9,1,4
The Crownlands,117,1,4
The Wall,61,1,4
The Wall,26,1,4
The Wall,78,1,4
Vaes Dothrak,81,1,4
The Wall,359,1,4
Vaes Dothrak,66,1,4
The Crownlands,249,1,4
The Crownlands,100,1,4
The Riverlands,184,1,4
The Crownlands,25,1,5
The Crownlands,37,1,5
The Crownlands,55,1,5
The Crownlands,153,1,5
The Crownlands,239,1,5
The Vale,198,1,5
The North,155,1,5
The North,104,1,5
The Crownlands,14,1,5
The Crownlands,154,1,5
The Crownlands,90,1,5
The Crownlands,213,1,5
The Crownlands,61,1,5
The Crownlands,104,1,5
The Crownlands,15,1,5
The Crownlands,13,1,5
The Vale,70,1,5
The Crownlands,18,1,5
The Crownlands,215,1,5
The Crownlands,9,1,5
